Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
IRM,"Iron Mountain Inc",NYSE,121.64,"Business Services","Business Information",+14.21%
ISRG,"Intuitive Surg Inc",NASDAQ,390.47,Medical,"Medical Instruments",-10.26%
IT,"Gartner Inc",NYSE,134.95,"Business Services",Consulting,-42.88%
ITW,"Illinois Tool Works",NYSE,270.76,"Industrial Products","Machinery - General Industrial",+9.02%
IVZ,"Invesco Limited",NYSE,30.09,Finance,"Finance - Investment Mgmt",+28.22%
J,"Jacobs Engineering Group",NYSE,130.95,Construction,"Building & Construction - Misc",-18.68%
JBHT,"J B Hunt Transport",NASDAQ,276.86,Transportation,"Transportation - Truck",+98.43%
JBL,"Jabil Circuit",NYSE,318.83,"Computers and Technology","Electronic Manufacturing",+53.12%
JCI,"Johnson Controls Intl",NYSE,141.55,Construction,"Building Products - Wood",+26.59%
JKHY,"Jack Henry & Assoc",NASDAQ,148.5,"Computers and Technology","IT Services",-3.48%
JNJ,"Johnson & Johnson",NYSE,248.25,Medical,"Large Cap Pharma",+31.35%
JPM,"JP Morgan Chase & Company",NYSE,347.51,Finance,"Finance - Investment Brokers",+13.67%
KDP,"Keurig Dr Pepper Inc",NASDAQ,30.54,"Consumer Staples","Beverages - Soft",+13.48%
KEY,Keycorp,NYSE,23.59,Finance,"Banks - Major Regional",+32.71%
KEYS,"Keysight Technologies",NYSE,321.53,"Computers and Technology","Electronics - Measuring Inst",+93.35%
KHC,"Kraft Heinz Company",NASDAQ,25.31,"Consumer Staples","Food - Misc & Diversified",+0.67%
KIM,"Kimco Realty Corp",NYSE,25.18,Finance,"REIT - Equity Trust Retail",+16.08%
KKR,"KKR & Company LP",NYSE,101.38,Finance,"Finance - Investment Mgmt",-17.84%
KLAC,"K L A-Tencor Corp",NASDAQ,221.3,"Computers and Technology","Electronics Products - Misc",+101.39%
KMB,"Kimberly-Clark Corp",NASDAQ,107.36,"Consumer Staples","Consumer Prdts - Misc Staple",-10.39%
KMI,"Kinder Morgan Inc",NYSE,32.2,Oils-Energy,"Oil - Production & Pipeline",+16.97%
KO,"Coca-Cola Company",NYSE,83.04,"Consumer Staples","Beverages - Soft",+23.74%
KR,"Kroger Company",NYSE,57.56,Retail-Wholesale,"Retail - Supermarket",-16.03%
KVUE,"Kenvue Inc",NYSE,18.81,"Consumer Staples","Consumer Prdts - Misc Staple",+15.81%
L,"Loews Corp",NYSE,112.89,Finance,"Insurance - Multi Line",+12.80%
LDOS,"Leidos Holdings Inc",NYSE,108.33,"Computers and Technology","IT Services",-41.78%
LEN,"Lennar Corp",NYSE,85.52,Construction,"Building - Residential & Comm",-30.28%
LH,"Laboratory Corp of America",NYSE,274.97,Medical,"Medical Services",-2.68%
LHX,"L3Harris Technologies",NYSE,288.46,Aerospace,"Aerospace - Defense",-0.61%
LII,"Lennox International",NYSE,541.53,Construction,"Building Prdcts - Air Heating",+1.98%
LIN,"Linde Plc",NASDAQ,515.96,"Basic Materials","Chemical - Specialty",+14.01%
LITE,"Lumentum Holdings",NASDAQ,746.45,"Computers and Technology","Communications Components",+366.77%
LLY,"Eli Lilly and Company",NYSE,1146,Medical,"Large Cap Pharma",+38.53%
LMT,"Lockheed Martin Corp",NYSE,515.22,Aerospace,"Aerospace - Defense",+2.99%
LNT,"Alliant Energy Corp",NASDAQ,75.13,Utilities,"Utility - Electric Power",+9.88%
LOW,"Lowe's Companies",NYSE,211.15,Retail-Wholesale,"Retail - Home Furniture",-12.89%
LRCX,"Lam Research Corp",NASDAQ,328.83,"Computers and Technology","Electronics - Semiconductors",+123.81%
LULU,"Lululemon Athletica",NASDAQ,117.73,"Consumer Staples","Textile - Apparel",-29.39%
LUV,"Southwest Airlines Company",NYSE,49.39,Transportation,"Transportation - Airline",+46.63%
LVS,"Las Vegas Sands",NYSE,44.65,"Consumer Discretionary",Gaming,-8.89%
LYB,"Lyondellbasell Industries NV",NYSE,57.63,"Basic Materials","Chemical - Diversified",+23.16%
LYV,"Live Nation Entertainment",NYSE,180.88,"Consumer Discretionary","Movie & TV Production & Dist",+16.98%
MA,"Mastercard Inc",NYSE,537.73,"Business Services","Financial Transaction Services",-3.93%
MAA,"Mid-America Apartment Communities",NYSE,132.45,Finance,"REIT - Equity Trust Resident",+0.77%
MAR,"Marriot Int Cl A",NASDAQ,369.64,"Consumer Discretionary","Hotels & Motels",+38.73%
MAS,"Masco Corp",NYSE,78.19,Construction,"Building & Construction - Misc",+15.50%
MCD,"McDonald's Corp",NYSE,267.08,Retail-Wholesale,"Retail - Restaurants",-12.47%
MCHP,"Microchip Technology",NASDAQ,85.43,"Computers and Technology","Semi Analog & Mixed",+29.61%
MCK,"Mckesson Corp",NYSE,807.61,Medical,"Medical - Dental Suppliers",+2.30%
MCO,"Moody's Corp",NYSE,506.61,Finance,"Finance - Misc Services",+6.20%
MDLZ,"Mondelez Intl Inc",NASDAQ,58.65,"Consumer Staples","Food - Misc & Diversified",-4.87%
MDT,"Medtronic Inc",NYSE,81.15,Medical,"Medical Products",-14.86%
MET,"Metlife Inc",NYSE,92.41,Finance,"Insurance - Multi Line",+13.27%
META,"META Platforms Inc",NASDAQ,674.77,"Computers and Technology","Internet - Software",-5.81%
MGM,"MGM Resorts International",NYSE,46.65,"Consumer Discretionary",Gaming,+45.41%
MKC,"Mccormick & Company",NYSE,51.49,"Consumer Staples","Food - Misc & Diversified",-21.13%
MLM,"Martin Marietta Materials",NYSE,573.99,Construction,"Building - CMT & CNT & AG",-10.94%
MMM,"3M Company",NYSE,160.28,Conglomerates,"Conglomerates - Div Operations",+3.69%
MNST,"Monster Beverage Corp",NASDAQ,98.45,"Consumer Staples","Beverages - Soft",+43.61%
MO,"Altria Group",NYSE,71.08,"Consumer Staples",Tobacco,+9.76%
MOS,"Mosaic Company",NYSE,22.74,"Basic Materials",Fertilizers,-24.25%
MPC,"Marathon Petroleum Corp",NYSE,296.02,Oils-Energy,"Oil - Refining and Marketing",+61.60%
MPWR,"Monolithic Power Sys",NASDAQ,1340.99,"Computers and Technology","Semi Analog & Mixed",+31.41%
MRK,"Merck & Company",NYSE,123.43,Medical,"Large Cap Pharma",+47.25%
MRNA,"Moderna Inc",NASDAQ,67.18,Medical,"Medical - Biomedical",+141.16%
MRSH,"Marsh & Mclennan Companies",NYSE,176.71,"Business Services","Business Services",-13.00%
MRVL,"Marvell Technology Inc",NASDAQ,206.72,"Computers and Technology","Electronics - Semiconductors",+131.23%
MS,"Morgan Stanley",NYSE,229.23,Finance,"Finance - Investment Brokers",+39.28%
MSCI,"MSCI Inc",NYSE,626.63,Finance,"Finance - Investment Mgmt",+14.58%
MSFT,"Microsoft Corp",NASDAQ,396.35,"Computers and Technology","Computer - Software",-23.16%
MSI,"Motorola Solutions",NYSE,409.01,"Computers and Technology","Wireless Equipment",-6.84%
MTB,"M&T Bank Corp",NYSE,247.74,Finance,"Banks - Major Regional",+33.26%
MTD,"Mettler-Toledo International",NYSE,1326.66,Medical,"Medical Instruments",+1.20%
MU,"Micron Technology",NASDAQ,904.43,"Computers and Technology","Computer - Integrated Systems",+363.41%
NCLH,"Norwegian Cruise Ord",NYSE,19.91,"Consumer Discretionary","Leisure & Recreation Services",-15.80%
NDAQ,"Nasdaq Inc",NASDAQ,91.47,Finance,"Securities Exchanges",+1.46%
NDSN,"Nordson Corp",NASDAQ,286.32,"Industrial Products","Machinery - General Industrial",+22.85%
NEE,"Nextera Energy",NYSE,88.79,Utilities,"Utility - Electric Power",+3.59%
NEM,"Newmont Mining Corp",NYSE,95.2,"Basic Materials","Mining - Gold",+0.47%
NFLX,"Netflix Inc",NASDAQ,73.86,"Consumer Discretionary","Broadcast - Radio & TV",-38.31%
NI,"NiSource Inc",NYSE,46.04,Utilities,"Utility - Electric Power",+6.22%
NKE,"Nike Inc",NYSE,42.82,"Consumer Staples","Shoes and Related Apparel",-37.07%
NOC,"Northrop Grumman Corp",NYSE,531.29,Aerospace,"Aerospace - Defense",-12.72%
NOW,"Servicenow Inc",NYSE,104.96,"Computers and Technology","IT Services",-41.89%
NRG,"NRG Energy",NYSE,137.24,Utilities,"Utility - Electric Power",-19.49%
NSC,"Norfolk Southern Corp",NYSE,325.9,Transportation,"Transportation - Rail",+12.05%
NTAP,"Netapp Inc",NASDAQ,157.6,"Computers and Technology","Computer - Storage Devices",+30.65%
NTRS,"Northern Trust Corp",NASDAQ,189.46,Finance,"Banks - Major Regional",+46.62%
NUE,"Nucor Corp",NYSE,236,"Basic Materials","Steel - Producers",+71.65%
NVDA,"Nvidia Corp",NASDAQ,208.91,"Computers and Technology","Semi General",+15.26%
NVR,"NVR Inc",NYSE,6505.81,Construction,"Building - Residential & Comm",-14.92%
NWS,"News Corp Cl B",NASDAQ,31.61,"Consumer Discretionary","Movie & TV Production & Dist",+6.05%
NWSA,"News Corp Cl A",NASDAQ,27.93,"Consumer Discretionary","Movie & TV Production & Dist",+5.55%
NXPI,"Nxp Semiconductors",NASDAQ,279.34,"Computers and Technology","Semi Analog & Mixed",+27.65%
O,"Realty Income Corp",NYSE,63.92,Finance,"REIT - Equity Trust Retail",+7.52%
ODFL,"Old Dominion Freight Line",NASDAQ,226.53,Transportation,"Transportation - Truck",+67.08%
OKE,"Oneok Inc",NYSE,90.86,Oils-Energy,"Oil Gas Prod Pipeline MLP",+32.12%
OMC,"Omnicom Group Inc",NYSE,81.28,"Business Services","Advertising Marketing Services",+2.72%
ON,"On Semiconductor",NASDAQ,92.49,"Computers and Technology","Semi Analog & Mixed",+81.63%
ORCL,"Oracle Corp",NYSE,132.85,"Computers and Technology","Computer - Software",-56.34%
ORLY,"O'Reilly Automotive",NASDAQ,83.9,Retail-Wholesale,"Retail - Wholesale Auto Parts",-17.88%
OTIS,"Otis Worldwide Corp",NYSE,72.18,"Industrial Products","Machinery - General Industrial",-21.60%
OXY,"Occidental Petroleum",NYSE,53.29,Oils-Energy,"Oil - US Integrated",+27.30%
PANW,"Palo Alto Networks",NASDAQ,355.76,"Computers and Technology",Security,+72.35%
PAYX,"Paychex Inc",NASDAQ,110.42,"Computers and Technology","Internet - Software",-12.85%
PCAR,"Paccar Inc",NASDAQ,123.49,Auto-Tires-Trucks,"Auto - Domestic",+28.76%
PCG,"Pacific Gas & Electric Company",NYSE,17.47,Utilities,"Utility - Electric Power",+4.95%
PEG,"Public Service Enterprise Group",NYSE,80.59,Utilities,"Utility - Electric Power",-4.66%
PEP,"Pepsico Inc",NASDAQ,136.1,"Consumer Staples","Beverages - Soft",-10.10%
PFE,"Pfizer Inc",NYSE,24.71,Medical,"Large Cap Pharma",+1.33%
PFG,"Principal Financial Group",NASDAQ,113.08,Finance,"Insurance - Multi Line",+39.99%
PG,"Procter & Gamble Company",NYSE,148.04,"Consumer Staples","Consumer Prdts - Misc Staple",+0.38%
PGR,"Progressive Corp",NYSE,206.58,Finance,"Insurance - Proprty & Casualty",-8.04%
PH,"Parker-Hannifin Corp",NYSE,952.72,"Industrial Products","Machinery - General Industrial",+28.37%
PHM,Pultegroup,NYSE,126.61,Construction,"Building - Residential & Comm",+1.31%
PKG,"Packaging Corp of America",NYSE,227.68,"Industrial Products","Containers - Paper Products",+8.73%
PLD,"Prologis Inc",NYSE,142.95,Finance,"REIT - Equity Trust Other",+15.75%
PLTR,"Palantir Technologies Cl A",NASDAQ,133.66,"Computers and Technology","Internet - Software",-25.48%
PM,"Philip Morris International",NYSE,180.14,"Consumer Staples",Tobacco,+14.10%
PNC,"PNC Bank",NYSE,254.5,Finance,"Finance - Investment Brokers",+39.85%
PNR,"Pentair Ltd",NYSE,64.19,"Business Services","Waste Removal Svcs",-42.55%
PNW,"Pinnacle West Capital Corp",NYSE,107.76,Utilities,"Utility - Electric Power",+15.52%
PODD,"Insulet Corp",NASDAQ,162.15,Medical,"Medical Products",-48.11%
PPG,"PPG Industries",NYSE,115.85,"Basic Materials","Chemical - Specialty",+16.13%
PPL,"PPL Corp",NYSE,35.96,Utilities,"Utility - Electric Power",-5.00%
PRU,"Prudential Financial Inc",NYSE,115.11,Finance,"Insurance - Multi Line",+11.76%
PSA,"Public Storage",NYSE,317.37,Finance,"REIT - Equity Trust Other",+5.21%
PSKY,"Paramount Skydance Corp Cl B",NASDAQ,9.17,"Consumer Discretionary","Media Conglomerates",-47.33%
PSX,"Phillips 66",NYSE,194.43,Oils-Energy,"Oil - Refining and Marketing",+51.08%
PTC,"Ptc Inc",NASDAQ,123.82,"Computers and Technology","Computer - Software",-38.80%
PWR,"Quanta Services",NYSE,647.47,"Industrial Products","Engineering & R&D Services",+46.39%
PYPL,"Paypal Holdings",NASDAQ,55.15,"Business Services","Financial Transaction Services",-18.95%
Q,"Qnity Electronics Inc",NYSE,137.73,"Computers and Technology","Electronics - Semiconductors",N/A
QCOM,"Qualcomm Inc",NASDAQ,177.88,"Computers and Technology","Electronics - Semiconductors",+8.19%
RCL,"Royal Caribbean Cruises Ltd",NYSE,294.75,"Consumer Discretionary","Leisure & Recreation Services",-5.72%
REG,"Regency Centers Corp",NASDAQ,80.48,Finance,"REIT - Equity Trust Retail",+11.09%
REGN,"Regeneron Pharmaceuticals",NASDAQ,662.85,Medical,"Medical - Biomedical",+15.24%
RF,"Regions Financial Corp",NYSE,31.5,Finance,"Banks - Southeast",+27.00%
RJF,"Raymond James Financial",NYSE,170.89,Finance,"Finance - Investment Brokers",+4.78%
RL,"Ralph Lauren Corp",NYSE,376.69,"Consumer Staples","Textile - Apparel",+17.84%
RMD,"Resmed Inc",NYSE,199.04,Medical,"Medical Products",-26.24%
ROK,"Rockwell Automation Inc",NYSE,460.77,"Computers and Technology","Electronics Products - Misc",+29.72%
ROL,"Rollins Inc",NYSE,44.45,Construction,"Building - Maint & Service",-20.44%
ROP,"Roper Industries",NASDAQ,349.75,"Computers and Technology","IT Services",-30.16%
ROST,"Ross Stores Inc",NASDAQ,226.4,Retail-Wholesale,"Retail - Discount",+44.33%
RSG,"Republic Services",NYSE,218.93,"Business Services","Waste Removal Svcs",-0.75%
RTX,"Rtx Corp",NYSE,195.03,Aerospace,"Aerospace - Defense",+23.90%
RVTY,"Revvity Inc",NYSE,111.32,Medical,"Medical Services",+20.31%
SBAC,"SBA Communications",NASDAQ,186.69,Finance,"REIT - Equity Trust Other",-4.11%
SBUX,"Starbucks Corp",NASDAQ,106.42,Retail-Wholesale,"Retail - Restaurants",+28.51%
SCHW,"The Charles Schwab Corp",NYSE,103.1,Finance,"Finance - Investment Brokers",+9.33%
SHW,"Sherwin-Williams Company",NYSE,332.97,"Basic Materials","Chemical - Specialty",-0.17%
SJM,"J.M. Smucker Company",NYSE,108.79,"Consumer Staples","Food - Misc & Diversified",+4.81%
SLB,"Slb Limited",NYSE,47.44,"Business Services","Technology Services",+44.98%
SMCI,"Super Micro Computer",NASDAQ,26.72,"Computers and Technology","Computer - Storage Devices",-50.80%
SNA,"Snap-On Inc",NYSE,404.25,"Consumer Discretionary","Tools - Hand Held",+21.28%
SNDK,"Sandisk Corp",NASDAQ,1591.2,"Computers and Technology","Computer - Storage Devices",+964.99%
SNPS,"Synopsys Inc",NASDAQ,421.92,"Computers and Technology","Computer - Software",-3.14%
SO,"Southern Company",NYSE,95.15,Utilities,"Utility - Electric Power",-4.31%
SOLV,"Solventum Corporation",NYSE,78.36,Medical,"Medical Services",+9.77%
SPG,"Simon Property Group",NYSE,222.34,Finance,"REIT - Equity Trust Retail",+24.76%
SPGI,"S&P Global Inc",NYSE,444.81,Finance,"Securities Exchanges",-7.65%
SRE,Sempra,NYSE,93.03,Oils-Energy,"Other Alt Energy",+1.03%
STE,"Steris Corp",NYSE,213.63,Medical,"Medical Instruments",-9.52%
STLD,"Steel Dynamics Inc",NASDAQ,233.6,"Basic Materials","Steel - Producers",+58.99%
STT,"State Street Corp",NYSE,185.05,Finance,"Banks - Major Regional",+58.78%
STX,"Seagate Technology Holdings",NASDAQ,810.01,"Computers and Technology","Computer - Integrated Systems",+265.22%
STZ,"Constellation Brands",NYSE,132.15,"Consumer Staples","Beverages - Alcohol",-4.99%
SW,"Smurfit Westrock Plc",NYSE,43.65,"Basic Materials","Paper & Related Products",+4.31%
SWK,"Stanley Black & Decker",NYSE,87.5,"Industrial Products","Machinery - Tools & Related",+28.59%
SWKS,"Skyworks Solutions",NASDAQ,56.81,"Computers and Technology","Semi Radio Frequency",-23.94%
SYF,"Synchrony Financial",NYSE,74.29,Finance,"Finance - Misc Services",+2.81%
SYK,"Stryker Corp",NYSE,315.8,Medical,"Medical Products",-14.51%
SYY,"Sysco Corp",NYSE,81.65,"Consumer Staples","Food - Misc & Diversified",+2.00%
T,"AT&T Inc",NYSE,21.42,Utilities,"Wireless National",-17.70%
TAP,"Molson Coors Brewing",NYSE,39.67,"Consumer Staples","Beverages - Alcohol",-14.60%
TDG,"Transdigm Group Inc",NYSE,1221.9,Aerospace,"Aerospace - Defense Equipment",-1.67%
TDY,"Teledyne Technologies",NYSE,621.28,Aerospace,"Aerospace - Defense Equipment",+9.03%
TECH,"Bio-Techne Corp",NASDAQ,71.46,Medical,"Medical - Biomedical",+19.87%
TEL,"Te Connectivity Ltd",NYSE,200.61,"Computers and Technology","Electronics - Misc Components",-10.52%
TER,"Teradyne Inc",NASDAQ,336.09,"Computers and Technology","Electronics Products - Misc",+134.33%
TFC,"Truist Financial Corp",NYSE,52.97,Finance,"Banks - Major Regional",+22.24%
TGT,"Target Corp",NYSE,138.3,Retail-Wholesale,"Retail - Discount",+52.50%
TJX,"TJX Companies",NYSE,151.16,Retail-Wholesale,"Retail - Discount",+4.13%
TKO,"Tko Group Holdings Cl A",NYSE,186.07,"Consumer Discretionary","Movie & TV Production & Dist",-2.25%
TMO,"Thermo Fisher Scientific",NYSE,538.6,Medical,"Medical Instruments",+1.32%
TMUS,"T-Mobile US",NASDAQ,187.88,Utilities,"Wireless National",-16.93%
TPL,"Texas Pacific Land Trust",NYSE,413.32,Oils-Energy,"Other Alt Energy",+33.94%
TPR,"Tapestry Inc",NYSE,140.06,Retail-Wholesale,"Retail - Apparel & Shoes",+19.83%
TRGP,"Targa Resources",NYSE,276.47,Oils-Energy,"Oil Refining & Marketing MLP",+83.86%
TRMB,"Trimble Navigation",NASDAQ,51.87,"Industrial Products","Machinery - General Industrial",-34.04%
TROW,"T Rowe Price Group",NASDAQ,118.36,Finance,"Finance - Investment Mgmt",+12.27%
TRV,"The Travelers Companies",NYSE,330.27,Finance,"Insurance - Proprty & Casualty",+22.78%
TSCO,"Tractor Supply Company",NASDAQ,30.87,Retail-Wholesale,"Retail - Misc & Diversified",-44.72%
TSLA,"Tesla Inc",NASDAQ,397.64,Auto-Tires-Trucks,"Auto - Domestic",-9.59%
TSN,"Tyson Foods",NYSE,57.65,"Consumer Staples","Food - Meat Products",+9.51%
TT,"Trane Technologies Plc",NYSE,479.55,"Business Services","Technology Services",+12.20%
TTD,"Trade Desk Inc",NASDAQ,19.22,"Computers and Technology","Internet - Services",-62.20%
TTWO,"Take-Two Interactive",NASDAQ,243.4,"Consumer Discretionary",Gaming,-6.54%
TXN,"Texas Instruments",NASDAQ,299.82,"Computers and Technology","Semi General",+69.63%
TXT,"Textron Inc",NYSE,88.52,Aerospace,"Aerospace - Defense",+7.25%
TYL,"Tyler Technologies",NYSE,304.43,"Computers and Technology","Internet Software Services",-39.20%
UAL,"United Airlines Holdings",NASDAQ,121.48,Transportation,"Transportation - Airline",+16.39%
UBER,"UBER Technologies Inc",NYSE,72.94,"Computers and Technology","Internet - Services",-22.39%
UDR,"United Dominion Realty Trust",NYSE,39.73,Finance,"REIT - Equity Trust Resident",+10.02%
UHS,"Universal Health Services",NYSE,148.72,Medical,"Medical - Hospitals",-27.62%
ULTA,"Ulta Beauty Inc",NASDAQ,467.83,Retail-Wholesale,"Retail - Misc & Diversified",-13.39%
UNH,"Unitedhealth Group",NYSE,421.12,Medical,"Medical - HMO",+16.76%
UNP,"Union Pacific Corp",NYSE,287.24,Transportation,"Transportation - Rail",+26.83%
UPS,"United Parcel Service",NYSE,114.28,Transportation,"Transportation - Air Freight",+35.89%
URI,"United Rentals",NYSE,1053.7,Construction,"Building & Construction - Misc",+2.22%
USB,"U.S. Bancorp",NYSE,63.11,Finance,"Banks - Major Regional",+35.63%
V,"Visa Inc",NYSE,358.63,"Business Services","Financial Transaction Services",+4.07%
VEEV,"Veeva Systems Inc",NYSE,194.97,Medical,"Medical Information Systems",-32.26%
VICI,"Vici Properties Inc",NYSE,26.52,Finance,"REIT - Equity Trust Other",-15.00%
VLO,"Valero Energy Corp",NYSE,288.43,Oils-Energy,"Oil - Refining and Marketing",+79.65%
VLTO,"Veralto Corporation",NYSE,91.56,"Business Services","Waste Removal Svcs",-10.25%
VMC,"Vulcan Materials Company",NYSE,290.85,Construction,"Building - CMT & CNT & AG",-4.74%
VRSK,"Verisk Analytics Inc",NASDAQ,191.91,"Business Services","Business Information",-21.01%
VRSN,"Verisign Inc",NASDAQ,269.07,"Computers and Technology","Internet Software Services",+1.46%
VRT,"Vertiv Holdings",NYSE,299.74,"Computers and Technology","IT Services",+62.97%
VRTX,"Vertex Pharmaceutic",NASDAQ,478.17,Medical,"Medical - Biomedical",+17.75%
VST,"Vistra Energy Corp",NYSE,158.86,Utilities,"Utility - Electric Power",-24.50%
VTR,"Ventas Inc",NYSE,92.96,Finance,"REIT - Equity Trust Other",+34.58%
VTRS,"Viatris Inc",NASDAQ,16.51,Medical,"Medical Services",+65.08%
VZ,"Verizon Communications",NYSE,42.86,Utilities,"Wireless National",+6.55%
WAB,"Wabtec Corp",NYSE,259.47,Transportation,"Transportation - Equip & Lease",+30.46%
WAT,"Waters Corp",NYSE,378.18,Medical,"Medical Instruments",+13.33%
WBD,"Discovery Inc Series A",NASDAQ,27.17,"Consumer Discretionary","Broadcast - Radio & TV",+47.59%
WDAY,"Workday Inc",NASDAQ,142.28,"Computers and Technology","Internet - Software",-39.27%
WDC,"Western Digital Corp",NASDAQ,506.96,"Computers and Technology","Computer - Storage Devices",+317.55%
WEC,"Wisconsin Energy Corp",NYSE,113.75,Utilities,"Utility - Electric Power",-2.58%
WELL,"Welltower Inc",NYSE,234.5,Finance,"REIT - Equity Trust Other",+36.23%
WFC,"Wells Fargo & Company",NYSE,86.71,Finance,"Finance - Investment Brokers",+0.40%
WM,"Waste Management",NYSE,233.89,"Business Services","Waste Removal Svcs",+9.93%
WMB,"Williams Companies",NYSE,74.83,Oils-Energy,"Oil - Production & Pipeline",+17.80%
WMT,"Walmart Inc",NASDAQ,113.91,Retail-Wholesale,"Retail - Supermarket",+4.73%
WRB,"W.R. Berkley Corp",NYSE,70.42,Finance,"Insurance - Proprty & Casualty",-7.34%
WSM,Williams-Sonoma,NYSE,223,Retail-Wholesale,"Retail - Home Furniture",+16.58%
WST,"West Pharmaceutical Services",NYSE,360.34,Medical,"Medical - Dental Suppliers",+36.41%
WTW,"Willis Towers Watson Public",NASDAQ,285.81,Finance,"Insurance - Brokers",-15.36%
WY,"Weyerhaeuser Company",NYSE,24.05,Construction,"Building Products - Wood",+1.26%
WYNN,"Wynn Resorts Ltd",NASDAQ,97.1,"Consumer Discretionary",Gaming,-18.08%
XEL,"XCEL Energy Inc",NASDAQ,79.4,Utilities,"Utility - Electric Power",-2.54%
XOM,"Exxonmobil Holdings Corp",NYSE,143.09,Oils-Energy,"Oil - International Integrated",+28.26%
XYL,"Xylem Inc",NYSE,121.44,"Business Services","Waste Removal Svcs",-17.50%
XYZ,"Block Inc",NYSE,82.33,"Computers and Technology","Internet - Software",+8.84%
YUM,"Yum! Brands",NYSE,154.6,Retail-Wholesale,"Retail - Restaurants",+6.75%
ZBH,"Zimmer Biomet Holdings",NYSE,90.8,Medical,"Medical Products",-8.60%
ZBRA,"Zebra Technologies",NASDAQ,254.46,"Industrial Products","Machinery - Thermal Processing",-14.24%
ZTS,"Zoetis Inc Cl A",NYSE,74.63,Medical,"Medical - Drugs",-47.54%
"Downloaded from Barchart.com as of 07-15-2026 12:43pm CDT"
